Entity	Source	By-Statement
Ananta Narayan Jena	Telegraph	It would also help in direct and indirect employment generation avenues in and around the city , said mayor Anantanarayanjena , adding that Bhubaneswar had gained prominence especially after winning the smart city challenge in 2016 .
Ananta Narayan Jena	Telegraph	Mayor Anantanarayanjena said : smart city and modern Urbanisation are the future .
Ananta Narayan Jena	Telegraph	Mayor Anantanarayanjena said PERSON would see all-round development in the smart city project .
Ananta Narayan Jena	Telegraph	Mayor Anantanarayanjena said promotion of Non-Motorised transport was one of the important agendas of the smart city proposal .
Ananta Narayan Jena	Telegraph	Mayor Anantanarayanjena said the construction of the four-lane roads was part of the smart city 's railway station multi-modal hub project .
Ananta Narayan Jena	Telegraph	Mayor Anantanarayanjena said that while taking up the terminal 's renovation , they would follow the same procedure in which they were executing the smart city projects .
Ananta Narayan Jena	Telegraph	Mayor Anantanarayanjena said the civic body was committed to providing quality services to the citizens in the smart city .
Angela Merkel	NIE	Berlin : chancellor PERSON says she only found out about Volkswagen 's use of software to cheat on emissions through the media .
Anil Baijal	NIE	Lauding efforts associated with the project and their innovations , Anilbaijal asked the stakeholders to use the latest scientific methods for cleaning drains and urged the experts to provide the latest technologies to urban local bodies to solve waste issues .
Anil Baijal	IE	L-G Anilbaijal said the scientific collection , systematic segregation and compressed volume of garbage will lead to dumping of less garbage in sanitary landfills .
Anil Baijal	HT	Also , lieutenant governor PERSON had repeatedly told us during review meetings that enhancing property tax is crucial for PERSON to generate money for smart city projects .
Anil Vij	TOI	Chandigarh : Haryana health minister PERSON has said that the countrys 22nd All-India Institute of medical sciences ( Aiims ) would be constructed in Manethi , Rewari , at a cost of RS 1,100 crore .
Arun Jaitley	NIE	Union finance minister PERSON has said that the government 's decision will move the country towards a cashless economy .
Arun Jaitley	NIE	Also read : parliamentary panel may question RBI governor PERSON on stand-off with central PERSON we are to improve ( growth rate ) , we need certain level of credit as far as entrepreneurs are concerned , ( and it is necessary that ) liquidity is maintained , PERSON said .
Arun Jaitley	NIE	A large number of nationally acclaimed institutions have come forward to take research in technology to the next level , Arunjaitley said .
Arun Jaitley	NIE	On the role of customs and the entire tax department , Arunjaitley said it has been evolving with changing nature of economy and with increased tools of technology now being available .
Arun Jaitley	NIE	| PERSON : India will offer tax incentives to small businesses engaged in cashless transactions , finance minister PERSON told reporters on Tuesday , as part of the government 's fight against the cash economy .
Arun Jaitley	NIE	The upa legislation , PERSON said , was inadequate as it did not contain adequate safeguards on privacy and did not mention for which purpose the UID would be used .
Arun Jaitley	DecH	New Delhi , Jan 16 , 2016 ( PTI ) 13:23 Istgovernment in the budget next month will announce a friendly tax regime that will encourage setting up of startups in the country , finance minister PERSON said today .
Arun Jaitley	DecH	Without referring to PERSON 's comments , PERSON said the media censorship is not possible today because of the technology itself .
Arun Jaitley	DecH	On the Demonetisation drive , Arunjaitley said that the governments bid to go cashless meant less cash and not no cash , as reported by the opposition parties and a section of the media .
Arun Jaitley	DecH	I also intend to set up five more IITs ( Indian Institutes of technology ) in Jammu , PERSON , PERSON , PERSON and Kerala , Arunjaitley said while presenting the budget for 2014-15 .
Arun Jaitley	Telegraph	It is proposed to develop 10 prominent tourist sites into iconic tourism destinations by following a holistic approach involving infrastructure and skill development , development of technology , attracting private investment , branding and marketing , finance minister PERSON said in his budget speech .
Arun Jaitley	HT	In the budget for 2017-18 , finance minister PERSON said a Digigaon initiative will be launched to provide tele-medicine , education and skills through digital technology .
Arun Jaitley	HT	As part of the operation clean money launched on January 31 , 2017 , PERSON said the I-T department would leverage technology and data analysis for E-Verification of cash deposits made during the Demonetisation period .
Arun Jaitley	HT	After addressing Sebis board and top officials at a customary Post-Budget meeting , Arunjaitley said he also discussed the future agenda for the capital markets regulatory body , including the evolving technological and policy changes .
Arun Jaitley	HT	But banks are also hiring experts to develop firewalls around their system to make it increasingly difficult to breach it , Arunjaitley said , adding that technology has to keep pace with crime .
Arun Jaitley	HT	To further bolster the cashless transactions , PERSON said that Sidbi will refinance merchants and businesses based on transaction history .
Arun Jaitley	IE	During his budget speech , finance minister PERSON announced that PERSON would spearhead a national programme on AI ; with the near doubling of the digital India budget , the it ministry also announced the setting up of four committees for AI related research .
Arun Jaitley	IE	Earlier in the day , finance minister PERSON said the government was ready with an entrepreneur-friendly taxation regime .
Arun Jaitley	IE	Noting that India has missed the bus because of its conventional thinking when it came to industrial and technology revolutions , PERSON said Indians have now become aspirational , which is putting pressure on politicians to support reforms initiatives .
Arun Jaitley	IE	Stating that the suggestion was wrong in its entirety , Arunjaitley said , to ensure probity in spending , the contact for construction of stadium , through a bidding process , was awarded to a public sector organisation ( engineering projects India Ltd ) .
Arun Jaitley	IE	Share this article related article government opposes Jairam 's plea against Aadhaar bill as money Billgovernment opposes Jairam 's plea against Aadhaar bill as money bill the LPG Puzzlethe LPG puzzle Aadhaar bill is through after opposition scores a few brownie PERSON bill is through after opposition scores a few brownie points hope to pass GST , bankruptcy bill this session : PERSON to pass GST , bankruptcy bill this session : PERSON bill introduced in PERSON bill introduced in PERSON gets statutory status ; centre to bring bill in two Dayswhile wrapping up the debate , PERSON said that except for some questions with regard to privacy and disclosure of information which have been raised , most speakers have actually supported the bill .
Arun Jaitley	IE	On the privacy issue , Arunjaitley said the bill had provisions for taking care of it .
Arun Jaitley	IE	Briefing about the cabinet meeting , finance minister PERSON said the preference to the domestic manufactured goods would be given under the government procurement preference to make in India order 2017 .
Arun Jaitley	IE	This will provide a one-stop conversion support system for empowering rural women with opportunities for employment , skill development , digital literacy , health and nutrition , PERSON announced .
Arun Jaitley	IE	Why shouldnt we make use of this technology if it helps us catch tax evaders , PERSON asked during his reply to the debate on finance bill , which was passed in the evening .
Arun Jaitley	IE	With opposition parties questioning the government over benefits of the Demonetisation process , PERSON said that tax authorities are conducting big data mining to zero in on those with income disproportionate to cash they deposited during the 50-day process .
Arun Jaitley	TOI	The upa legislation , PERSON said , was inadequate as it did not contain adequate safeguards on privacy and did not mention for which purpose the UID would be used .
Arundhati Bhattacharya	NIE	We have considered many factors and after analysing carefully , we have taken this step , SBI chairperson Arundhatibhattacharya told reporters here on the sidelines of a women entrepreneurs ' National Convention .
Ashraf	IE	Danish Ashraf , nodal officer for smart city mission and SDM ( East ) , said , people are coming up with complaints , problems , suggestions and ideas but till now , we have not received any idea from residents welfare associations .
Ashraf	NIE	These are all priority sectors under 'Skill India ' and 'Make in India ' programmes , which require large workforce with advanced technical skills , India 's high commissioner in Singapore Jawed Ashraf said here on Friday .
Babu	DecH	The difference is extremely glaring in perishable commodities like vegetables , PERSON said in his address at the 46th convocation of the University of agricultural sciences ( UAS ) here on Friday .
Babu	NIE	New Delhi : Internet of things and new technologies are a deadly combination and will play an important role in the growth of his state , said PERSON , chief minister , PERSON .
Babu	NIE	Reminiscing his efforts to bring the e-governance in the United Andhra Pradesh , PERSON said that unless there was new thinking , planning and execution , there would not be any progress in any sector .
Babu	NIE	With the help of the advanced technologies , the government is conserving resources , PERSON said .
Babu	NIE	On the occasion , Union minister PERSON said that the Demonetisation was also a part of the digital India .
Babu	NIE	PERSON said the big three software services companies - TCs , Infosys , cognizant - cutting recruitment by more than half was an alarming prospect for the engineering students .
Babu	NIE	The increase in engineering colleges and the number of seats should have been in proportion to the industry demand , said PERSON .
Babu	NIE	Our Endeavour is to lead the revival of coconut farming and provide support to farmers with scientific protocols for value addition and processing , PERSON said .
Babu	NIE	Asserting that every issue related to the construction of the project was being executed based on clearances given by technical committees , PERSON project authority , central water commission and as per the designs prepared by engineers and experts , PERSON said that the so-called intellectuals should know all these issues .
Babu	NIE	As the chief guest at the Andhra University science college annual day celebrations here , PERSON asked the students to respond whether his decision was right .
Babu	Telegraph	Our HR will take a call tomorrow morning whether to declare a holiday ( on Tuesday ) , said PERSON , a software engineer .
Babu	IE	Chief minister PERSON who launched the first machine said his aim is to make PERSON a crime free state in India through the usage of latest technology in forensic Labs .
Babu	IE	Addressing a press conference in Amaravati , PERSON said that he has directed union civil aviation minister P PERSON and PERSON , minister of state for science and technology and earth sciences , to resign from the union cabinet .
Babu	HT	Expressing serious concern over reports of failure of Evms at several places across the state , PERSON said he had been saying right from the beginning that Evms were unreliable as they were prone to technical glitches .
Babu	TOI	The surface water of Krishna river will anyway be polluted and along with it the ground water as well , said said PERSON , a retired senior scientist from the Indian Institute of chemical technology .
Babu	TOI	For highly specialised technology and labour , we will bring in outside consultants for the purpose , but we will deliver the vessels to the Indian Navys satisfaction and also on time , Admiral PERSON said .
Babu	TOI	Thiruvananthapuram : the procedures are on to set up the headquarters of the Apj Abdul Kalam technological university on a piece of land at Vilappilsala in Thiruvananthapuram district , education minister PERSON told the assembly on Monday .
Barack Obama	TOI	We 've also seen intellectual property , technologies that were created by US companies , with a lot of investment , a lot of up-front capital , taken , not protected properly , by Chinese firms , BarackObama said .
Barack Obama	Telegraph	Technological progress without an equivalent progress in human institutions can doom us , BarackObama said , adding that such technology requires a moral revolution as well .
Barack Obama	Telegraph	In a much-anticipated speech that ranged from broad principles to technical details , BarackObama said he would end the vast collection of phone data as it exists today .
Barack Obama	DecH	For our part , the United States continues to look at our export controls to make sure Indian companies have the same access to American technology as our closest allies , BarackObama told PTI in a wide-ranging interview .
Barack Obama	IE	To accelerate that change , we need science , BarackObama said .
Barack Obama	IE	With a creative spirit and a drive for innovation , he pioneered new technologies that have rightfully received worldwide acclaim , U.S. president BarackObama said .
Barack Obama	IE	These innovators are working to help keep the United States on the cutting edge , showing that federal investments in science lead to advancements that expand our knowledge of the world around us and contribute to our economy , BarackObama said .
Barack Obama	HT	These innovators are working to help keep the United States on the cutting edge , showing that federal investments in science lead to advancements that expand our knowledge of the world around us and contribute to our economy , BarackObama said .
Barack Obama	NIE	With a creative spirit and a drive for innovation , he pioneered new technologies that have rightfully received worldwide acclaim , U.S. president BarackObama said .
Chanda Kochhar	NIE	We plan to more than double the software robots to over 500 by end of this fiscal , Chandakochhar , MD and CEO , ICICI bank , said .
Chandra Bose	NIE	That the so-called 'PERSON , who reportedly died in 1985 leaving his teeth among his trunk load of personal belongings , was not Netaji was established in a scientific DNA test , Chandrabose said .
Deepak	NIE	So thats why youve named your son PERSON , Deepak told PERSON , a lecturer at the business Department of the higher College of technology .
Deepak	HT	The software identifies the words which find an entry in the dictionary and translates them into PERSON , said Deepak , the officiating controller of the examination .
Deepak	HT	Its advertisement also amounts to violation of Cotpa under section 5 , said Deepak , executive director , seeds , the technical support partner of the Jharkhand health department in implementation of the National tobacco control programme in five districts of the state .
Deepak	IE	The machine is being repaired and can not be used for the next 10 days , said Dr Deepak , the director of RAM Manohar Lohia Institute of medical sciences in Lucknow .
Deepak	IE	Deputy Commissioner-Cum-Secretary ( information technology ) Dr s B Deepak said , this is the third service that we have launched this month .
Deepak	IE	Ut special secretary information technology SB Deepak said that the existing policy provided companies to avail space at the centre at low rents , which was not the motive of starting the EDC .
Deepak	TOI	Pali sp Deepak told toi that investigators were awaiting a final ballistics report on the shooting from the state forensic science laboratory to corroborate their hunch that Munisekar fired the weapon at Periyapandi while the team tried to storm the gangs hideout in a shack in an abandoned brick kiln in Ramavas village .
Deepak	TOI	These videos will be live on our Facebook page and can be viewed on YouTube as well , said Deepak , an MA political science student at Kirori mal college , who has been volunteering at PERSON for three years .
Deepak	Telegraph	PERSON ( 23 ) , a resident of PERSON , said : I have filled up two examination forms , one of technical assistant in the Indian railway and another for assistant in the cabinet secretariat .
Deepak Kumar	IE	Deputy Commissioner-Cum-Secretary ( information technology ) Dr PERSON said , this is the third service that we have launched this month .
Deepak Kumar	IE	Ut special secretary information technology SB Deepakkumar said that the existing policy provided companies to avail space at the centre at low rents , which was not the motive of starting the EDC .
Deepak Kumar	TOI	These videos will be live on our Facebook page and can be viewed on YouTube as well , said Deepakkumar , an MA political science student at Kirori mal college , who has been volunteering at PERSON for three years .
Devendra Fadnavis	IE	Technology can never replace people-to-people contact between the government and the people and women are best suited to that role , chief minister PERSON said on Wednesday .
Devendra Fadnavis	IE	( express archive ) skill development training can promote economically self-reliant entrepreneurs and beat unemployment through job creation in diverse sectors , including agriculture and industries , chief minister PERSON said on Friday interacting with ITI students .
Devendra Fadnavis	IE	Taking a step forward towards the development of PERSON as a smart city and unveiled the governments plan , chief minister PERSON on Friday said , smart cities can not be a reality unless it is adequately backed by smart planning .
Dhawan	IE	Prince Dhawan , director ( information technology ) , said , it is a turning point for the city beautiful which has embarked upon its journey to become a smart city .
Dinesh Waghmare	IE	Meanwhile , municipal commissioner PERSON said , e-governance is atop of civic PERSON will certainly be going digital , but in a phased manner .
Gandhi	NIE	Modiji brags about start-up India and make in India , but he can give jobs to only one lakh youth a year in the country which is about 450 jobs a day , PERSON said .
Gandhi	NIE	Speaking about the poor innovation in India , PERSON said there was a lack of funding .
Gandhi	NIE	PERSON said the education system needs a reform where PhD research should be linked to industry and innovation .
Gandhi	NIE	Hitting out hard at the centre , PERSON said first the government offered sops to push people to use debit/credit cards and when the people started using more of cashless means , now lack of coordination with banks and their policies is forcing petrol pump owners to adopt these drastic steps .
Gandhi	NIE	When asked about data privacy , PERSON said it companies have understood that India and China has large data .
Gandhi	NIE	PERSON said the 'Make in India ' scheme of the government has failed to create jobs or attract investment and unemployment was rampant .
Gandhi	IE	Immigration of doctors hurts the country , chairperson of the National Advisory Council ( Nac ) PERSON told graduating doctors during the 39 th convocation ceremony of the all India Institute of medical sciences ( Aiims ) on Wednesday .
Gandhi	IE	PERSON said not a single person has benefitted by the prime ministers promises of controlling inflation , depositing RS . 15 lakh in the accounts of each citizen and upgrading certain towns to smart city .
Gandhi	IE	Ridiculing the make in India campaign , PERSON said , the Babbar Sher ( mascot of make in India campaign ) does not squeak even like a mouse .
Gandhi	IE	On the day when the government launched the startup India campaign , PERSON said there is a huge contradiction that the centre was attempting to push start-ups while being intolerant .
Gandhi	HT	Twitter.Com/PERSON ( @ PERSON ) August 19 , 2019Charting the steps taken by Rajiv government , the video says : computers become the symbol of ambitious Indians , entrepreneurs like NR Narayana Murthy , PERSON and PERSON set-up world-class it companies , through PERSON could connect to 243 overseas countries , digitised telephone exchanges , PERSON introduced to connect rural and urban India and first Indian railways introduced digital reservation for tickets .
Gandhi	DecH	Near reception , computers enabled with net are lined up to facilitate the visitors have the feel of New Age technology- which is now almost paperless , in collating information , says the librarian Dr PERSON .
Gandhi	DecH	PERSON said that in parliament he had asked PERSON four questions on his promises of bringing back black money and depositing RS 15 lakh in everybody 's bank account , the recent budget proposal of turning black money to white , PERSON suicide , PERSON and PERSON and finally about the number of youths employed as a result of his 'Make in India ' scheme .
Gandhi	DecH	PERSON said the 'PERSON , PERSON campaign was the fourth major initiative of the Modi government after PERSON , Swachh Bharat Abhiyan and make in India campaign .
Gandhi	DecH	Kerala is also the first state to have a startup policy , PERSON said .
Gandhi	TOI	Emphasising the need for scientific investigation of crimes , PERSON said spiralling cases crime against women and children have necessitated scientific analysis of physical evidence in such cases .
Gandhi	TOI	While PERSON said proof of orders given to PERSON was needed , the defence minister on Sunday released details of contracts signed and those where requests for proposal have been issued and contracts are at technical evaluation stage .
Gandhi	TOI	This is not correct as postal services would continue to be in step with the times and render services in tandem with the new technology , PERSON said .
Gautham	IE	V PERSON , principal secretary ( information technology ) , Maharashtra government , said , we are paying the PERSON for their bandwidth .
Gautham	IE	Meanwhile , V PERSON , principal secretary ( information technology ) , told the Indian express that zero incidents on PERSON network had been reported following the virus scare of Wannacry .
Gautham	HT	Vk Gautham , principal secretary of States information technology department , said the concern is a valid one .
Gautham	HT	33 PM , said PERSON , operations head at the NSB , a unit of ministry of earth sciences .
Gautham	HT	Vk Gautham , principal secretary of the States information technology department , said they have 50 teams deployed on the ground to sort out issues at the hotspots .
Gautham	TOI	In rural areas , we register children in Anganwadis but in urban areas , many of them do n't come to Anganwadis , state information technology chief V PERSON said .
Gautham	TOI	In rural areas , we register children in Anganwadis but in urban areas , many of them do n't come to Anganwadis , state information technology chief V PERSON said .
Gautham	TOI	Principal secretary information technology VK PERSON told toi that a three-pronged strategy has been adapted by the government to address the shortcomings in this age group .
Gautham	DecH	The epicentre of the quake was Rudraprayag district in Uttarakhand , said J L Gautham , operations head at the National seismological Bureau , a unit of ministry of earth sciences .
Ghanshyam Thori	HT	Bathinda deputy commissioner Ghanshyamthori , who convened a meeting of senior officials of departments concerned , said Whitefly-Friendly weed would be destroyed under technical guidance from the Agriculture Department before March 11 .
Gogia	HT	An average American PERSON in the US , gets anything between $ 1,40,000 to $ 1,70,000 depending on which school has the graduate passed out from , said PERSON , CEO and chief analyst of Greyhound research .
Hamid Ansari	NIE	New Delhi : the Indian it industry will have to step up on innovation amid challenges like need for new products , digital disruption and shrinking manpower requirements triggered by software automation , vice president PERSON said on Saturday while inaugurating the new headquarters of the National Association of software services companies in Noida .
Hamid Ansari	DecH	Use science to overcome Obscurantism , says PERSON , may 22 , 2015 , Dhns : 1:02 Istvice-President PERSON on Friday said promotion and embedding of science and scientific temper is a constitutional duty , besides being a moral one for a modern nation .
Harsh Vardhan	IE	Eliminating malaria and tuberculosis ( TB ) were high on the radar of the government , said Dr Harshvardhan , Union minister for health and family welfare , science and technology and earth sciences .
Harsh Vardhan	Telegraph	Health minister PERSON said the health ministry is providing all logistical and technical support to the state government in terms of surveillance and diagnostic kits to strengthen their efforts in addressing je .
Jain	TOI	Mayor PERSON said that the implementation of the e-governance project is very important .
Jain	TOI	The event will feature more than 800 participants and around 50 renowned speakers who will be interacting with the aspiring entrepreneurs , said tie president PERSON who is also the founder and CEO of net solutions .
Jain	TOI	PERSON told toi that it 's a dispute between right to information and right to privacy .
Jain	IE	We wish to form proposals that will help young entrepreneurs too , said PERSON , chairman of young Indians ( Chandigarh chapter ) and CEO of net solutions .
Jain	IE	PERSON said he had suggested to the Discoms in the first meeting with them to shut down the plants that have become obsolete in technical terms .
Jain	IE	M g science Institute principal P K Jain told the Indian express that this year science colleges were getting good response from students .
Jain	HT	PERSON , one of the builders of Arihant Arden society , said that the process of changing the Transformer is facing a delay due to technical issues .
Jain	DecH	More scientific methods will be adopted for this purpose , health minister PERSON said .
Jayalalithaa	DecH	Chief minister PERSON had said that it was a meteorite fall that caused the mishap at the campus of a private engineering college .
Jayalalithaa	DecH	Chief minister PERSON had said that it was a meteorite fall that caused the mishap at the campus of a private engineering college .
Jim Yong Kim	NIE	By Ptiwashington : digital technologies offer a hope in the fight against corruption which is a problem in every single country of the world , World Bank president Jimyongkim has said .
Kiran Kumar	DecH	'Use space technology for social Good'September 26 , 2015 , Bengaluru , Dhns 1:47 Istindian space research organisation ( ISRO ) chairman a s Kirankumar said there is a need to use space technology for social good and development .
Kiran Kumar	DecH	Isro will provide Satellite-Generated information to the railways through space technology-based tools that will provide safety at unmanned level crossings , ISRO chairman a s Kirankumar told reporters here yesterday in reply to a question on how will ISRO help the railways in using the navigational support system .
Kiran Kumar	DecH	The technological demonstration flight of the reusable launch vehicle ( PERSON ) is scheduled for September at PERSON in PERSON , Indian space research organisation ( ISRO ) chairman a s PERSON told reporters here .
Kiran Kumar	DecH	Addressing a gathering after delivering a lecture on space technology and societal applications , a s Kirankumar , chairman , ISRO , said on Monday that ISRO is working on designing Reuseable satellite launch vehicles in an effort to cut down cost .
Kiran Kumar	DecH	Need for workforce to achieve sustainable development PERSON , June 19 , 2015 , Dhns : 0:56 Istindian space research organisation ( ISRO ) chairman a s Kirankumar said on Thursday that there was a need to provide inputs to the decision-makers of the country based on scientific analysis to tackle the issues people are facing .
Kiran Kumar	NIE	The commissioning of the facility also symbolises the countrys capability in establishing such world-class facilities wherein technology from outside is restricted or not available , Kirankumar said .
Kiran Kumar	NIE	Prof PERSON , Educationist and former executive council member , Visvesvaraya technological University , says that one of the main reasons for the state institutions ' poor grading is due to the fact that institutions do not understand education compliance .
Kiran Kumar	NIE	The commissioning of the facility also symbolises the countrys capability in establishing such world class facilities wherein technology from outside is restricted or not available , '' PERSON said .
Kumar Mangalam Birla	DecH	Earlier during the day , Aditya Birla group chairman Kumarmangalambirla said , this combination will enable the Aditya Birla group to create a high quality digital infrastructure that will transition the Indian population towards a digital lifestyle , and make the governments digital India vision a reality .
Kumar Ravi	HT	While some analysts have said the plans will raise Infosyss cost burden and impact its margins , deputy chief operating officer PERSON said it would make Indias second-biggest software services company nimbler .
Kumar Ravi	TOI	We are excited to announce the expansion of our presence in Connecticut and to create 1,000 technology jobs in the state , Infosys president PERSON said .
Kumar Ravi	TOI	This is in contrast to joining a large organisation where there would be lesser ownership , and therefore , lesser learning , belong 's chief technology officer ( CTO ) PERSON said .
Kumar Ravi	TOI	We are excited to announce the expansion of our presence in Connecticut and create 1,000 technology jobs in the state , Infosys president PERSON said .
M. Venkaiah Naidu	DecH	Factors like viability of implementation , city vision and strategy , economic and environmental impacts of the plan , cost effectiveness , innovation and scalability and the process followed for preparing the DPR , including consultation of the citizens , will be taken into account for preparing the final list of 20 cities , Union urban development minister M.Venkaiahnaidu told Deccan Herald .
Madan	NIE	In these days of high technological advancements , authorities should ensure a more secure and fool-proof system while conducting such recruitment examinations , says PERSON .
Mahesh Sharma	DecH	Rain-Hit Chennai airport resumes technical PERSON , DEC 5 , 2015 , ( PTI ) 13:46 Isttechnical flights have started from Rain-Hit Chennai airport where operations were suspended on Wednesday following flooding but it will take a few days to resume commercial flights , Union minister PERSON said today .
Mahesh Sharma	TOI	Smart city projects executive engineer Maheshsharma said that they will be finalizing an agency for the same soon .
Mamata Banerjee	IE	After the ceremony , Mamatabanerjee said , PERSON will take charge of health and e-governance and Ujjwal will take care of the jail ( correctional administration ) department .
Mamata Banerjee	IE	Either you fix such technical problems or do not stop funds citing such lame excuses , Mamatabanerjee said .
Mamata Banerjee	IE	After the ceremony , Mamatabanerjee said , PERSON will take charge of health and e-governance and Ujjwal will take care of the jail ( correctional administration ) department .
Mamata Banerjee	IE	Watch video : whats making PERSON discussed a lot of topics like investment , technology , culture and social media , PERSON said after the meeting .
Mamata Banerjee	Telegraph	Sources said Mamatabanerjee , during her recent visit to PERSON , had asked the officials to encourage local entrepreneurs to make investments on the site .
Mamata Banerjee	Telegraph	Chief minister PERSON has told me that Bengal will join the All-India single entrance test for engineering from 2014 , Sibal said at a news conference in the city .
Manish Tewari	IE	There is certain amount of intellectual investment which India has made in the development of tech industry on the US , Congress party spokesperson PERSON said .
Manish Tewari	IE	There is certain amount of intellectual investment which India has made in the development of tech industry on the US , Congress party spokesperson PERSON said .
Manmohan Singh	IE	B'Asking scientists to think out of the box for advancements in the country , Prime Minister PERSON today announced 2012-13 as the year of science to unleash the energies of young scientists and attract more people towards research .
Manohar Lal Khattar	IE	A university is also being set up for developing and honing the skills of youths through about 800 technical courses , Manoharlalkhattar said .
Manohar Lal Khattar	DecH	The ultimate goal is to prevent corruption by use of technology and minimizing the discretion process , chief minister PERSON told senior officers at a meeting , the first of its kind on eradicating corruption , here this week .
Manohar Lal Khattar	NIE	A university is also being set up for developing and honing the skills of youths through about 800 technical courses , Manoharlalkhattar said .
Manohar Lal Khattar	TOI	London : chief minister PERSON said in London he wants to transform PERSON into a Silicon Valley , which attracts expats and tech companies from overseas .
Manohar Lal Khattar	TOI	London : chief minister PERSON said in London he wants to transform PERSON into a Silicon Valley , which attracts expats and tech companies from overseas .
Manohar Lal Khattar	TOI	Speaking at the event , Manoharlalkhattar also said , industrial organisations have to play an active role in bridging their gap with the technical Institutes of the state .
Manohar Lal Khattar	TOI	Speaking about long term policy decisions , Manoharlalkhattar said that the state government was working on two schemes to make available land for entrepreneurs to set up industries and to create more sources of income for the villages .
Manohar Parrikar	IE	( file photo ) defence minister PERSON today said it was not his concern that some companies like Boeing and Lockheed Martin could find themselves torn between the slogans of America first of us president PERSON and make in India of prime minister PERSON .
Manohar Parrikar	IE	B'Bowing to pressure from within BJP against the US-based Playboy clubs move to open its facility in the coastal state , GOA chief minister PERSON today said the application would not be considered by his government on technical grounds .
Manohar Parrikar	TOI	It was in January this year , while speaking at the state credit seminar 2018-19 organised by the National Bank for agriculture and rural development ( Nabard ) , PERSON said the state government would go cashless by September 30 .
Manohar Parrikar	TOI	By September 30 my government will go cashless , PERSON said .
Manohar Parrikar	TOI	In November 2016 , post demon , PERSON had announced that GOA would be the first state in the country to go cashless and would achieve this by December 31 , 2016 .
Manohar Parrikar	TOI	12M openings will be provided at certain stretches by way of small bridges to allow for the free flow of water , he said adding , the irrigation department has been directed to work out scientific solutions to prevent flooding and to take Anti-Flooding measures , PERSON said .
Manohar Parrikar	TOI	Vasco : chief minister PERSON on Friday said that the union government can look at Italy , Russia and South Korea for transfer for technology ( tot ) to build 12 mine counter measure vessels ( Mcmv ) for the Indian Navy at the GOA shipyard Ltd ( PERSON ) .
Manohar Parrikar	DecH	Panaji , Aug 30 , 2015 , ( PTI ) 12:20 Istunion defence minister PERSON has said the PERSON 's transfer of technology deal with yoga guru PERSON 's trust will fetch RS 50 crore revenue for the people of PERSON region .
Manohar Parrikar	DecH	Hospitals should get cashless transaction system , says Parrikarmangaluru , DEC 26 , 2016 , Dhns : 23:36 Istdefence minister PERSON said that a cashless system should be introduced in all government and private hospitals across the country .
Manohar Parrikar	DecH	Asked about defence trade and technology initiative ( Dtti ) with the US , PERSON said it is already there .
Manohar Parrikar	DecH	Speaking to reporters on the sidelines of an industry exhibition on technology and material sciences in PERSON , PERSON said during the past 23 months that I have been in charge , we have signed contracts worth RS 2 .
