Entity	Source	By-Statement
Amarinder Singh	Telegraph	a minister who does not connect with the woes of the farmers had no business holding the portfolio, amarindersingh said in a statement released in chandigarh on sunday.
Amarinder Singh	Telegraph	the farmers are suffering as a result of the central government's failure to waive their debts, which many state governments, including punjab, have sought, amarindersingh said.
Amarinder Singh	TOI	chandigarh: trashing the union as a jumla , punjab chief minister amarindersingh on friday said it was a hogwash, which had nothing for farmers and youths but would burden the common man.
Amarinder Singh	TOI	punjab chief minister amarindersingh said the project would help in addressing the problem of the environmental pollution due to stubble burning besides providing additional income to farmers by helping turn the unmanageable agro-waste into raw material for producing bio fuel.
Amarinder Singh	TOI	flanked by punjab pradesh congress committee president and mp sunil jakhar and local bodies minister navjot singh sidhu, amarindersingh said the process of farm loan waiver would begin after the elections and distribution of smart phones would also begin soon.
Amarinder Singh	TOI	the decision was also evaluated by the j-pal south asia and the world bank following the announcement of the project, chief minister capt amarindersingh had claimed that the project would encourage farmers to save power and water and would also help in crop diversification and result in accurate energy accounting and curbing wasteful consumption.
Amarinder Singh	TOI	various studies undertaken to understand the extent of farm debt in punjab had found that farm labourers were one of the most badly-hit class and should be considered for suitable relief in any loan waiver scheme, amarindersingh said and criticised opposition parties and some kisan unions for spreading false propaganda on the issues faced by farmers.
Amarinder Singh	TOI	capt amarindersingh , who met congress president rahul gandhi earlier in the day, said prime minister narendra modis allegations on the punjab governments loan waiver scheme were completely incorrect.
Amarinder Singh	TOI	chandigarh: chief minister amarindersingh on wednesday announced waiver of the state governments 50  share in the goods and services tax (gst) on community kitchen (langar) at golden temple, durgiana temple, bhagwan valmiki tirath and key shrines of the other communities.
Amarinder Singh	TOI	on a clarification sought by bjps som prakash, amarindersingh said there would be similar waiver on the gst on langar or prasad for durgiana mandir and bhagwan valmiki tirath sthal.
Amarinder Singh	TOI	addressing a gathering after distributing farm-debt waiver certificates at his ancestral village, mehraj, amarindersingh said influential politicians and officials would also be taken to task if they were found involved in cases of sacrilege and police firing the arrest of the former ssp turned into a talking point at the event.
Amarinder Singh	TOI	capt amarindersingh , who met congress president rahul gandhi earlier in the day, said prime minister narendra modis allegations on the punjab governments loan waiver scheme were completely incorrect.
Amarinder Singh	TOI	on claims that names of many farmers have not figured in waiver lists, amarindersingh said names of only those had not been figured in the lists where some anomalies in names were there and the farmers should approach authorities concerned for corrections and waiver would be provided to the deserving farmers.
Amarinder Singh	TOI	after being the nation's food bowl for almost four decades, captain amarindersingh said that time has come to move beyond agriculture.
Amarinder Singh	TOI	in a press statement, amarindersingh said he trashed sukhbirs comments on the loan waiver announced by the congress in punjab and other states as political theatrics.
Amarinder Singh	TOI	slamming him for trying to exploit the sentiments of the farmers, to whom the former regime had failed to deliver even an iota of benefits, capt amarindersingh said the former deputy cm was trying to mislead the farming community in a desperate bid to wean it away from the congress.
Amarinder Singh	TOI	mohali: after being the countrys food bowl for four decades, time has come for punjab to move beyond agriculture, says chief minister captain amarindersingh speaking at toi event mohali: the next big it hub here on tuesday, the cm said that agriculture had its place in the economy but there was a need to explore the other avenues as well for creating job opportunities in punjab.
Amarinder Singh	DecH	punjab chief minister amarindersingh said, when farmers, who feed the nation, are forced to take to streets to draw attention to their pitiable condition, then it does not augur well for the country.
Amarinder Singh	NIE	on the issue of agricultural debt relief, while his government had already announced a package of rs 8000 crores for over ten lakh small and marginal farming households, there was need for a comprehensive package and assistance from the centre, said amarindersingh , urging for a one-time debt waiver to help out the farming community.
Amarinder Singh	NIE	contrary to what the badals are trying to project with their misleading propaganda, the fact is that capt amarindersingh has categorically said the debts of farmers in punjab will be waived off once he comes to power, the ppcc leaders said.
Amarinder Singh	NIE	in punjab's context, amarindersingh said the agriculture sector, which was largely dependent on cash transactions, had been hit hard, along with the informal sector.
Amarinder Singh	NIE	pointing out that 10 lakh acres of land, farmed by 2 lakh farmer families and supported by another 2 lakh agricultural labourers depended on agriculture in punjab, amarindersingh said implementation of the syl verdict would finish them all.
Amarinder Singh	NIE	captain amarindersingh , who was part of the congress delegation led by partys national vice president rahul gandhi, said farmers, burdened with loans, were committing suicide in punjab and other parts of the country.
Amarinder Singh	NIE	reacting to union finance minister arun jaitleys claim that the post-demonetisation situation in the country would stabilise in another two to three weeks, amarindersingh said he did not see the situation improving even in the next one year.
Amarinder Singh	NIE	though high yielding maize hybrids, coupled with increase in area under maize cultivation, holds great promise, the same is not viable for the farmers in the absence of assured procurement at msp, said captain amarindersingh , seeking financial support from the centre for farmers compelled to sell their maize produce at a price lower than the msp.
Amarinder Singh	NIE	assuring that his government was duty-bound to fulfill every promise made to the people in its election manifesto, amarindersingh said the state had approached the union government for the loan waiver.
Amarinder Singh	NIE	while welcoming former aap leader dr daljit singh in the party, amarindersingh said, `` he wanted to fight the chief minister on his home turf of lambi as he wanted to defeat all the top akali leaders responsible for destroying the state through their drugs, mafia and goonda raj, and guilty of ruining its trade, industry and agriculture.
Amarinder Singh	NIE	punjab congress president captain amarindersingh says the rbi orders prohibiting cooperative banks from exchanging/accepting old rs 500 and rs 1,000 notes are to blame for the state of affairs in rural punjab.
Amarinder Singh	NIE	chandigarh: punjab congress president capt amarindersingh on sunday said the party will move the court over the demonetisation related deaths, even as he extended his full support to the proposed strike by the industries over the issue on december 16.
Amarinder Singh	NIE	extending his support to the chamber of industrial and commercial undertakings (cicu), ludhiana, amarindersingh said the impact of demonetisation on the states industries, already in the doldrums because of the badal governments antagonistic policies, had been devastating.
Amarinder Singh	NIE	the mounting farm debts was making the agriculture in punjab increasingly unsustainable, endangering not only the food security of the nation but also the social fabric of this sensitive border state, said amarindersingh , citing the pioneering role of punjab in the production of foodgrain and thereby in national food security.
Amarinder Singh	HT	our government has made it clear that no bank will initiate kurki of farmers property to recover the outstanding debt, amarindersingh told the house.
Amarinder Singh	HT	later, talking to media persons, amarindersingh said the state government will compensate the farmers if the centre does not meet their demand for withdrawal of value cut on the minimum support price (msp) in the procurement of wheat due to damage to crops by unseasonal rain.
Amarinder Singh	HT	the bjp-led government at the centre has been meting out step-motherly treatment to punjabs farmers in a bid to undermine the congress government in the state, said amarindersingh , citing the centres decision to divert gunny bags to haryana and imposition of value cut on msp for the wheat procured under the relaxed specifications in the state during the rabi season in 2019-20.
Amarinder Singh	HT	in a letter to the pm, amarindersingh said the total farm debt in punjab is more than rs 80,000 crore, including the crop loans of rs 12,500 in the cooperative sector.
Amarinder Singh	HT	asked about farm loan waiver, a key pre-poll promise of the punjab congress, amarindersingh said he was fully committed to implementing the same and would ensure that adequate funds are released for it.
Amarinder Singh	HT	captain amarindersingh says, nri money has come in despite demonetisation through some channels, but, i am more concerned with the ideology of the extreme left and the khalistanis who are supporting the aap.
Amarinder Singh	HT	during the meeting held at the punjab bhawan here, cm amarindersingh said officials should make all-out efforts to ensure timely and full procurement of every single grain from farmers, who had suffered a harrowing time last year due to an ill-conceived agricultural policy of the erstwhile sad-bjp government.
Amarinder Singh	HT	this is my assurance to you (farmers), amarindersingh said.
Amarinder Singh	HT	a day after four militants were killed in kashmir, punjab congress chief captain amarindersingh on monday said despite the narendra modi governments claims, note ban has failed to check flow of terrorists and fake currency from pakistan.
Amarinder Singh	HT	in a statement issued here, amarindersingh said sundays encounter in kashmir and reports of pakistan pushing fake rs 2,000 currency into india via bangladesh were proof that the ill-conceived note ban decision was not helping curb terror as claimed by modi.
Amarinder Singh	HT	apart from continuing incursions from across the border, there was sufficient ground to believe that black money remained a serious concern despite a 86  old currency getting frozen overnight following the demonetisation, said amarindersingh , citing reports of frequent seizures of large sums of unaccounted for, new currency.
Amarinder Singh	HT	its better late than never, said the cmearlier in march, amarindersingh announced waiver of the state governments 50  share in the gst on langar at the golden temple, durgiana temple, bhagwan valmiki tirath and key shrines of the other communities.
Amarinder Singh	HT	punjab chief minister amarindersingh on saturday said he is committed to farm loan waiver and his government would soon find ways and means to bail out the debt-ridden farmers-- with or without the centres aid.
Amarinder Singh	HT	however, the badals, with their selective memory, had conveniently forgotten about this fact while accusing me of cheating the farmers on the debt waiver issue, amarindersingh said, adding that the akali leaders should check out the facts before making such unsubstantiated statements.
Amarinder Singh	HT	interacting with the iit students, amarindersingh said he has directed the state administration to make their boarding and lodging arrangements at the punjab bhawan and kisan bhawan in chandigarh till the time institute is closed.
Amarinder Singh	HT	chief minister capt amarindersingh on monday said the state government will allow the farmers in punjab to sow paddy a week before the scheduled date of june 20, as part of a string of sops he announced to woo the farming community.
Amarinder Singh	HT	pointing out that a special crop loss assessment report was already being prepared to assess crop damage due to rain, amarindersingh said losses due to fire caused by any other reason will be compensated from the cms relief fund.
Amarinder Singh	IE	punjab chief minister amarindersingh (pti/file) punjab chief minister amarindersingh (pti/file)punjab chief minister captain amarindersingh on friday said his government would soon announce its decision on farm debt waiver based on the recommendations of the t haq expert committee, which is scheduled to submit its report shortly.
Amarinder Singh	IE	in response to a question, amarindersingh said his government, which had inherited a bankrupt punjab, had made a good start with the farm loan waiver and employment generation schemes.
Amarinder Singh	IE	the cm also accused union minister harsimrat kaur badal of failing to protect punjabs and the farmers interests at the centre she did not raise her voice even though the bjp government at the centre failed to take any steps in the budget for the farming community, amarindersingh said, pointing out that the nda government had failed to implement the swaminathan report, which was the only way to help farmers boost their income and bring the agriculture sector out of the doldrums into which it had been plunged.
Amarinder Singh	IE	interacting with farmers during pagri sambaal kisaana, a programme of jat maha sabha, in faridkot, amarindersingh said: white is unlucky for punjab.
Amarinder Singh	IE	though high yielding maize hybrids, coupled with increase in area under maize cultivation, holds great promise, the same is not viable for the farmers in the absence of assured procurement at msp, said captain amarindersingh , seeking financial support from the centre for farmers compelled to sell their maize produce at a price lower than the msp.
Amarinder Singh	IE	we will not let a factory (power plant) come up here until and unless farmers are paid compensation as per the coming bill of parliament, amarindersingh said,while accusing badals of speeding up the acquisitions for personal gains.
Amarinder Singh	IE	when a minister entrusted with the welfare of the farmers cannot relate to their problems and is absolutely indifferent to their plight, one can well imagine which way the country is headed, amarindersingh said.
Amarinder Singh	IE	questioning the centres intent to rescue the beleaguered farmers, amarindersingh asked, if a bankrupt state like punjab could do its bit for a loan waiver, why could the centre not come up with a waiver scheme?
Amarinder Singh	IE	whatever the reasons and the circumstances, the gst should have been allowed to be introduced in parliament in the monsoon session to facilitate the way for its eventual passage, amarindersingh said in a statement on friday.
Amarinder Singh	IE	however, the badals, with their selective memory, had conveniently forgotten about this fact while accusing me of cheating the farmers on the debt waiver issue, amarindersingh said, adding that the akali leaders should check out the facts before making such unsubstantiated statements.
Amarinder Singh	IE	the badal father-son duo seems to be suffering from selective hearing and amnesia, said amarindersingh on friday, reacting to the badals allegation that he had backtracked on his farm loan waiver promise.
Amarinder Singh	IE	punjab cm captain amarindersingh (file photo) punjab cm captain amarindersingh (file photo)the state level bankers committee of punjab friday said the delay in rolling out the farm debt waiver to farmers having accounts in commercial banks was affecting recoveries of commercial banks and had also turned nearly 80 per cent farmers into non-performing assets (npas).
Amarinder Singh	IE	admitting that it was not enough, amarindersingh said total farm loan was rs 60,000 crore and punjab cannot pay this much.
Amarinder Singh	IE	(source: file photo)punjab congress chief amarindersingh said on saturday that if his party is voted to power in the 2017 assembly elections, it will work out a permanent solution for settling the farm debt so that no farmer is forced to take extreme steps like suicide.
Amarinder Singh	IE	i know it is a difficult task, but i have taken it as a challenge because we cant keep on watching our farmers kill themselves without doing anything, amarindersingh said, adding, it is a tragedy that those who fed the whole nation are being left to die in debt and we need to do something.
Amarinder Singh	IE	on the cooperative departments appeal to the government to expedite the loan waiver, amarindersingh said the commission set up by his government to ascertain the quantum of farm loans in the state and to work out the modalities for their waiver would soon come out with its recommendations in thematter.
Amarinder Singh	IE	the commission set up to ascertain the farm debt quantum and to work out modalities for its waiver was expected to come out with its report soon, to pave the way for total waiver of the farmers loans, to which he was personally committed, amarindersingh said.
Amit Shah	NIE	bharataiya janata party president amitshah said on friday that the demonetisation has not affected the common people and only some politicians.
Amit Shah	DecH	modi government will tackle black money issue: amitshah delhi, may 26, 2015, (ians) 11:23 istthe narendra modi-led central government is determined to tackle the black money issue, bjp president amitshah said here on tuesday.
Amit Shah	DecH	the modi government is determined to tackle the black money issue, said amitshah while addressing the media on the completion of one year of nda government.
Arun Jaitley	NIE	on relief measures for the middle class, arunjaitley said that in the last five years, not a single tax has been increased, gst has been brought down on most commodities, and income tax relief has been provided.
Arun Jaitley	NIE	union finance minister arunjaitley has said that the government's decision will move the country towards a cashless economy.
Arun Jaitley	NIE	reassuring the people that those having lawful money would have nothing to fear, arunjaitley said this is a major setback to the parallel black money economy because a lot of currency operating outside the system will now have to be brought into the banking system.
Arun Jaitley	NIE	bengaluru: the goods and services tax, to be rolled out in just over a month, will not only check evasions but also help india evolve as a more tax-compliant society, finance minister arunjaitley said here on monday.
Arun Jaitley	NIE	beyond that as the central government, i have nothing to say, arunjaitley told reporters when asked if the centre will help states on the issue of farm loan waivers.
Arun Jaitley	NIE	the then finance minister arunjaitley had told rajya sabha in response to a question on december 18, 2018 that according to information available three officials of state bank of india and one of its customers died during the period of demonetisation.
Arun Jaitley	NIE	by ptinew delhi: finance minister arunjaitley today said the states are not in favour of including petrol and diesel into gst at the moment, ruling out any immediate levy of the new indirect tax on these petroleum products.
Arun Jaitley	NIE	but i am sure as the gst experience moves on, i think, natural gas, real estate -- these are areas which are to be brought in and then probably at some stage we will keep trying for petrol, diesel and potable alcohol, arunjaitley said.
Arun Jaitley	NIE	new delhi: finance minister arunjaitley on tuesday said small traders and businesses will get a tax advantage of more than 30 per cent for digital transactions.
Arun Jaitley	NIE	finance minister arunjaitley said the taxpayers with an aggregate turnover of rs 40 lakh would now be exempted from the gst.
Arun Jaitley	NIE	as revenue secretary, adhia's term witnessed the introduction of a nationwide indirect tax egime, evolving a centre-states consensus on the multiple gst laws and drafting the rules and fixing tariffs that made it possible to meet the deadline of july 1, 2017 for the gst roll-out, arunjaitley said.
Arun Jaitley	NIE	finance minister arunjaitley said there is constitutional compulsion to roll out gst by september 16, 2017.
Arun Jaitley	NIE	new delhi: asserting that hard cash in india would become obsolete in the near future, union finance minister arunjaitley on monday said that digital payments like e-wallet system and mobile banking would rule the roost which would immensely benefit the people.
Arun Jaitley	NIE	digital payments are the future of financial transactions, arunjaitley said at the punjab national bank app launching ceremony held here.
Arun Jaitley	NIE	responding to a question of the power of the comptroller and audit general under gst, arunjaitley said, cag is already empowered to seek clarification from the state under cag act, the issue did come up and it was agreed that since the law exists there is no need to for separate laws.
Arun Jaitley	NIE	by ptinew delhi: finance minister arunjaitley today said the goods and service tax (gst) has stabilised in a very short time that provides an opportunity to widen its base and further rationalise the rates in the future.
Arun Jaitley	NIE	after the government's decision of withdrawing rs. 500 and rs. 1,000 banknotes to curb black money, corruption and counterfeit currency, arunjaitley said that higher-denomination currency notes have to be deposited in bank accounts to get newer or smaller denomination currencies.
Arun Jaitley	NIE	obviously there is some inconvenience for a couple of days or a couple of weeks, but that cannot be an alibi that india continues to live (with black money and parallel economy), arunjaitley said.
Arun Jaitley	NIE	by ptinew delhi: finance minister arunjaitley on friday said the number of income taxpayers can double to almost 12 crore with increased formalisation of the economy.
Arun Jaitley	NIE	vijayawada/hyderabad: with parliament passing the gst bill in the just-concluded session, union finance minister arunjaitley has now asked andhra pradesh and telangana to ensure its early ratification.
Arun Jaitley	NIE	further, gst will broaden the tax base, and result in better tax compliance due to a robust it infrastructure, arunjaitley said.
Arun Jaitley	NIE	new delhi: the reserve bank was fully prepared to deal with currency shortages post demonetisation and has enough currency in its chests to last far beyond december 30, finance minister arunjaitley said today.
Arun Jaitley	NIE	pointing out that a few days ago the finance minister arunjaitley had said the economic decline had nothing to do with demonetisation, rahul said the entire world is saying the demonetisation has wrecked indian economy.
Arun Jaitley	NIE	buttressing his point, arunjaitley said that the services and financial sectors, which normally grow at around 9-10 per cent, had a fall in growth even before demonetisation was announced.
Arun Jaitley	NIE	in this context, arunjaitley said demonetisation has created a new normal replacing the old order of cash and parallel economy, which has been eliminated.
Arun Jaitley	NIE	the council will meet again on january 3-4 and will discuss the contentious issue of cross-empowerment, the only main issue that is lacking consensus, said finance minister arunjaitley adding that the next session will also see the cgst and sgst laws being framed in legal language and placed before the states.
Arun Jaitley	NIE	so, if i were to list the residual issues left for the next meeting, then they are the interstate gst law, the issues of dual control and cross empowerment, and the approval of the legally vetted language, arunjaitley said.
Arun Jaitley	NIE	when asked whether the gst could be rolled out from april one, 2017, arunjaitley said, i am trying my best.
Arun Jaitley	NIE	the rates would be the big item to discuss and after that we will go on to draft rules of gst law, said arunjaitley , adding that the  discussion was inconclusive and therefore it will continue in the next meeting on 18th (october).
Arun Jaitley	NIE	on the timing of gst implementation, arunjaitley said the government could not have postponed it as there was a constitutional deadline.
Arun Jaitley	NIE	the gst council has reduced tax rates of 66 items as against representations received for 133 items, finance minister arunjaitley told reporters here after the 16th meeting of the gst council.
Arun Jaitley	NIE	new delhi: pinning hopes on quick resolution of the difficult issue of tax jurisdiction with states, finance minister arunjaitley today said that goods and services tax regime will be rolled out from april next year.
Arun Jaitley	NIE	finance minister arunjaitley today in his talk on note ban to ndtv said that security printing of currency is a time-consuming exercise, however, rbi is calibrating release of currency.
Arun Jaitley	NIE	gst has to be implemented latest by september 16, 2017, and if it is not implemented by then, then states will not be able to collect their share of taxes, and hence there is not enough scope to further delay the decision, arunjaitley said while inaugurating the two-day economic editors conference,so far the government has been successful to resolve most of the major issues through consensus, arunjaitley said, adding we have already sorted out 10 issues.
Arun Jaitley	NIE	there is no proposal currently to make the use of aadhaar mandatory under the scheme, finance minister arunjaitley said in a written reply in lok sabha on february 2.
Arun Jaitley	NIE	by ptinew delhi: buoyed by gst collections exceeding rs 1 lakh crore in april, finance minister arunjaitley today said it is a landmark achievement and a confirmation of increased economic activity.
Arun Jaitley	NIE	gst collections in april exceeding rs 1 lakh crore is a landmark achievement and a confirmation of increased economic activity as brought out by other reports, arunjaitley said in a tweet.
Arun Jaitley	NIE	union finance minister arunjaitley told the bjp mps that the demonetisation would help india embrace digital economy.
Arun Jaitley	NIE	3, arunjaitley told reporters, but did not clarify whether the country could meet the self-imposed deadline of april 1 for the launch of goods and services tax, the country's most ambitious tax reform as yet.
Arun Jaitley	NIE	bengaluru: the goods and services tax, to be rolled out in just over a month, will not only check evasions but also help india evolve as a more tax-compliant society, finance minister arunjaitley said today.
Arun Jaitley	NIE	bhubaneswar: union finance minister arunjaitley on thursday said prime minister narendra modi has created a 'new normal' for the country's economy by breaking all the stereotypes of the past through his demonetisation move.
Arun Jaitley	NIE	now there will be less cash transaction and increase in digital currency, arunjaitley said to a gathering of intellectuals.
Arun Jaitley	NIE	speaking on indian economy: the new normal in the aftermath of demonetisation, arunjaitley said for the first time such a decision came which was difficult to implement because one has to confront with many challenges.
Arun Jaitley	NIE	gandhi said finance minister arunjaitley had recently said economic decline had nothing to do with the demonetisation.
Arun Jaitley	NIE	finance minister arunjaitley could announce tax incentives for individuals and firms to boost consumer demand, amid lingering uncertainty over the implementation of a nationwide goods and services tax, said one of the officials.
Arun Jaitley	NIE	| reutersnew delhi: india will offer tax incentives to small businesses engaged in cashless transactions, finance minister arunjaitley told reporters on tuesday, as part of the government's fight against the cash economy.
Arun Jaitley	NIE	in a facebook post titled 'benefits of the aadhaar - where it stands today', arunjaitley said its use in the delivery of subsidies has helped saved rs 90,000 crore in the last few years till march 2018 by eliminating several duplicates, non-existent and fake beneficiaries.
Arun Jaitley	NIE	aadhaar is a game changer, arunjaitley said.
Arun Jaitley	NIE	the monies saved through aadhaar is money fruitfully employed for the poor elsewhere, arunjaitley said.
Arun Jaitley	NIE	the upa legislation, arunjaitley said, was inadequate as it did not contain adequate safeguards on privacy and did not mention for which purpose the uid would be used.
Arun Jaitley	NIE	the judgement of the supreme court added balance to the concept of aadhaar, arunjaitley said.
Arun Jaitley	NIE	while acknowledging that the cash crunch would only ease post december 30, arunjaitley said that the amount of cash to be issued in the form of new 500 and 2,000 rupee notes would not be the same as the amount circulating before november 8, when prime minister narendra modi announced the so-called demonetisation.
Arun Jaitley	NIE	by ptinew delhi: finance minister arunjaitley today said it is not possible to have one gst rate as the country has vast disparities, but assured investors that government will undertake further reforms after improvement in tax compliance standards.
Arun Jaitley	NIE	on the compliance burden of the gst, arunjaitley said it was a little heavy but the process would ease on account of the initiatives being undertaken by the revenue department.
Arun Jaitley	NIE	wheat, rice, sugar can't be taxed at the same rate as a mercedes car or a yacht or tobacco, finance minister arunjaitley had said while ruling out the possibility of a single gst rate.
Arun Jaitley	NIE	on the recalibration of atms for dispensing new design currency notes, arunjaitley said, it would take two to three weeks, since the present machines are designed to dispense only rs 100, rs 500 and rs 1,000 notes.
Arun Jaitley	NIE	in remarks apparently aimed at former reserve bank governor raghuram rajan, who friday blamed the goods and services tax roll-out along with demonetisation for lower gdp growth, arunjaitley said the economy recovered fast from the limited disruptionist impact of the tax reform.
Arun Jaitley	NIE	within the first year of gst implementation, arunjaitley said the number of people who registered for gst has gone up by 74 per cent and government has also been able to bring down tax rates for as many as 334 commodities than previous levels.
Arun Jaitley	NIE	by ptinew delhi: going forward, as tax revenues significantly increase, india will have gst slabs of 0 per cent, 5 per cent and a standard rate between 12-18 per cent for commonly-used items, finance minister arunjaitley said monday.
Arun Jaitley	NIE	in a facebook post titled 'eighteen months of gst', arunjaitley said, of the 1,216 commodities which are used, broadly 183 are taxed at zero rates, 308 at 5 per cent, 178 at 12 per cent and 517 at 18 per cent.
Arun Jaitley	NIE	the country should eventually have a gst which will have only slabs of zero, 5 per cent and standard rate with luxury and sin goods as an exception, arunjaitley said.
Arun Jaitley	NIE	crediting adhia efforts on the gst rollout, arunjaitley said in his blog that it was his efforts supported by his team of officers of centre and state governments, which made it possible to hit the deadline of july 1, 2017.
Arun Jaitley	NIE	those who did not consider the generation of so much black money and scams during their regime as blunder are now finding the crusade against black money as blunder, arunjaitley said.
Arun Jaitley	NIE	stressing that demonetisation decision will have a positive impact on the economy, arunjaitley said, this (the move) will have positive impact as far as the medium and long terms are concerned.
Arun Jaitley	NIE	i will still keep my fingers crossed, arunjaitley told media persons after the gst council meet here.
Arun Jaitley	NIE	washington: india continues to be the fastest-growing major economy in the world and its growth will accelerate further due to factors like the implementation of gst, finance minister arunjaitley said.
Arun Jaitley	NIE	talking about the new indirect tax regime, arunjaitley said the government is fully on course to implement the goods and services tax (gst) by july 1.
Arun Jaitley	NIE	new delhi: issuing a veiled warning, finance minister arunjaitley today said one cannot convert black money into white by merely depositing unaccounted cash in bank accounts as taxes are required to be paid on them.
Arun Jaitley	NIE	in a facebook post on the second anniversary of demonetisation, arunjaitley said in first four years of the national democratic alliance (nda) government, the number of income tax returns filers has gone up to 6.
Arun Jaitley	NIE	special: experience the first 50 days after demonetisation through 50 exclusive stories from tnieterming the criticism, that almost the entire cash got deposited in the banks post demonetisation, as ill-informed, arunjaitley said confiscation of currency was not an objective of demonetisation.
Arun Jaitley	NIE	new delhi: finance minister arunjaitley on tuesday said that axis bank management has assured the government that it is taking action against the erring officials who are suspected to be involved in irregularities post demonetisation.
Arun Jaitley	DecH	new delhi, aug 8, 2016, (pti) 18:09 istimplementation of the goods and services tax (gst) will reduce tax evasion and improve ease of doing business by engendering a common market throughout the country, finance minister arunjaitley said today as he moved the modified constitution amendment bill in the lok sabha.
Arun Jaitley	DecH	on the vexed question of gst rate which may have implications for inflation, arunjaitley said it would be decided by the gst council, which will comprise representatives of centre and states.
Arun Jaitley	DecH	simultaneously the gst council will work on the functional modalities for implementation such that same person is not assessed by both centre and states, arunjaitley said.
Arun Jaitley	DecH	however, finance minister arunjaitley said the pmgky response should not be seen in isolation as it was introduced after the income disclosure scheme (ids) and demonetisation exercise were carried out in the previous fiscal.
Arun Jaitley	DecH	recently, finance minister arunjaitley had said that all efforts are being made to bring to book those who have been named in the hsbc bank list of black money holders and there are evidence against them.
Arun Jaitley	DecH	finance minister arunjaitley said the capping of cess was done at a higher rate only to give the goods and services tax council more headroom in the future if there was a need to increase them.
Arun Jaitley	DecH	as per the constitutional allocation of powers, the central government has no jurisdiction to impose tax on agricultural income, arunjaitley said in a statement.
Arun Jaitley	DecH	finance minister arunjaitley in his budget speech had announced that the government would come out with a new law to effectively deal with the black money stashed abroad.
Arun Jaitley	DecH	on the goods and service tax (gst) bill, arunjaitley said the congress was dissenting on their own bill.
Arun Jaitley	DecH	finance minister arunjaitley has said that the fitment will begin immediately after the march 31, gst council meeting which will pass the last bunch of rules required for the roll out.
Arun Jaitley	DecH	new delhi, mar 29, 2017, (pti) 14:08 istallaying apprehension of spike in prices of goods and commodities after the roll out of the gst, finance minister arunjaitley today said the tax rates will be kept at the current levels so as not to have any inflationary impact.
Arun Jaitley	DecH	introducing four bills to give effect to the goods and services tax (gst), arunjaitley said the legislations will have to be passed by parliament and one by each of the state assemblies to turn india into one market with a single tax rate.
Arun Jaitley	DecH	dubai, nov 16, 2015 (pti) 19:08 istfinance minister arunjaitley today said the government would make all efforts to persuade the opposition for the passage of constitution amendment bill for implementation of gst in the winter session.
Arun Jaitley	DecH	finance minister arunjaitley too had said late last week that he saw no reason to postpone gst roll out.
Arun Jaitley	DecH	when referred to the leakage of aadhaar details of cricketer m s dhoni, arunjaitley said it was the result of an immature act by somebody in ranchi against whom action has been taken.
Arun Jaitley	DecH	finance minister arunjaitley , however, said that gst compliance will be further simplified to increase the tax base.
